Air Pollution (PM2.5) - Population weighted exposure to PM2.5 (micro-grams per cubic meter),,,,,,,,,,,,,
Source: Boys et al. (2014); Aaron van Donkelaar (submitted).,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,
,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Macedonia,17.6,17.57,16.1,16.69,16.07,17.08,16.78,17.1,15.81,14.33,12.79,14.91,14.51
Madagascar,1.47,1.4,1.57,1.73,1.64,1.79,1.8,1.88,1.86,1.91,1.98,2.12,2.17
Malawi,3.77,3.76,3.74,3.85,4.05,4.46,4.65,4.74,4.78,4.85,4.9,4.91,5.02
Malaysia,6.64,2.57,9.28,8.37,9.4,10.49,11.76,10.81,9.64,9.16,9.69,10.11,10.65
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,3.81,3.69,4.25,4.42,4.53,4.4,4.43,4.13,3.83,3.72,3.95,3.92,4.13
Malta,7.81,7.81,8.58,8.6,8.99,8.25,7.03,7.03,6.93,7.57,6.89,6.92,6.38
Marshall Islands,4.67,4.65,4.72,4.92,4.77,5.2,4.86,4.97,5.17,5.17,5.21,5.31,5.31
Martinique,2.46,2.46,2.11,2.24,2.2,2.44,2.65,2.73,2.65,2.6,2.77,3.07,3.08
Mauritania,4.58,4.16,4.02,4.79,4.8,4.48,4.41,4.24,3.82,3.72,3.86,3.9,3.83
Mauritius,1.31,1.13,1.24,1.23,1.28,1.32,1.32,1.32,1.34,1.42,1.42,1.42,1.46
Mayotte,0.9,0.9,1.07,1.23,1.32,1.43,1.55,1.56,1.63,1.81,1.99,2.08,2.08
Mexico,13.42,11.98,11.48,11.62,11.35,11.39,10.97,11.08,10.57,10.39,10.03,10.17,10.22
Micronesia,0.47,0.47,0.46,0.33,0.33,0.3,0.33,0.37,0.36,0.36,0.41,0.41,0.47
Moldova,15.92,15.9,15.61,15.85,15.65,14.57,15.57,14.9,13.17,12.64,12.95,14.45,14.02
Monaco,13.8,13.8,12.4,12.7,12.4,12.2,12,12,12,11.5,11,10.7,10.7
Mongolia,5.16,3.96,5.1,6.42,6.44,5.65,5.44,5.52,5.77,5.9,5.79,5.58,5.07
Montenegro,9.05,8.91,10.98,10.98,11.7,13.3,13.89,14.04,12.9,11.36,11.09,11.94,12.09
Montserrat,2.33,2.3,2.37,2.7,2.7,2.72,2.95,2.95,2.92,2.92,3.14,3.36,3.36
Morocco,8.52,8.32,7.78,7.6,7.75,7.9,7.68,8.38,7.48,7.17,6.77,6.71,7.25
Mozambique,3.06,3,3.11,3.01,2.97,3.2,3.39,3.52,3.65,3.71,3.81,3.73,3.78
Myanmar,8.15,8.13,8.58,8.82,9.95,10.7,11.37,11.95,11.66,13.12,12.67,13.5,14.12
Namibia,9.13,8.55,7.13,7.01,7,6.73,6.2,6.3,5.98,6,6.07,5.85,5.85
Nauru,3.7,3.7,4,4.1,4.1,4,3.8,3.8,3.7,3.7,3.7,3.7,4
Nepal,21.31,21.12,23.78,24.59,25.22,25.77,26.5,26.99,28.8,29.46,29.9,29.22,30.49
Netherlands,17.05,16.75,15.33,16.03,15.93,15.52,15.33,15.15,14.49,13.36,13.66,14.29,14.14
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,1.61,1.44,1.63,1.59,1.59,1.6,1.59,1.54,1.57,1.56,1.63,1.71,1.58
New Zealand,1.85,1.55,1.87,1.9,1.91,1.92,1.93,1.97,2.01,2.05,2.04,2.1,2.14
Nicaragua,4.71,4.58,4.28,4.61,4.77,5.1,4.71,4.84,4.65,4.54,4.53,4.46,4.32
Niger,3.56,3.44,4.25,4.52,4.84,4.84,4.92,4.72,4.85,5.06,5.56,5.6,5.51
Nigeria,6.39,5.79,7.7,8.49,8.86,9.53,9.94,9.85,9.39,9.35,9.71,9.17,8.15
Niue,1.09,0.88,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
Norfolk Island,3.33,3.3,3.23,3.23,3.23,3.23,3.33,3.23,3.23,3.23,3.23,3.33,3.33
North Korea,16.98,16.97,18.4,19.93,20.38,21.33,20.31,20.88,21.36,21.23,19.89,19.6,20.09
Northern Mariana Islands,3.68,3.67,3.8,3.82,3.75,3.69,3.73,3.75,3.81,3.81,3.73,3.73,3.57
Norway,5.56,5.09,5.41,5.88,5.84,5.72,5.62,5.55,4.64,4.53,4.53,5.12,4.51
Oman,6.09,5.88,7.8,8.16,8.27,8.23,8.35,8.51,9.04,9.66,9.61,8.4,8.32
Pakistan,22.38,22.35,26.81,28.34,28.18,28.86,29.25,29.94,30.51,29.17,29.46,29.21,29.35
Palau,1.54,1.49,0.95,1.01,1.02,1.27,1.42,1.41,1.41,1.57,1.25,1.4,1.35
Panama,3.3,1.92,3.02,3.39,3.05,3.46,2.99,3.11,2.89,2.83,2.86,2.86,3.02
Papua New Guinea,2.45,1.13,2.76,2.55,2.53,2.67,2.91,3.08,3.3,3.21,3.18,3.14,3.23
Paraguay,5.18,5.08,5.66,5.75,5.97,5.94,5.91,6.36,5.05,4.79,4.75,4.97,5.12
Peru,7.72,5.05,7.53,7.49,7.83,8.29,9.02,9.24,8.53,7.82,7.6,7.78,8.01
Philippines,5.34,3.72,6.1,6.26,6.29,7.09,6.97,7.25,6.72,6.51,6.46,6.81,6.68
Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,17.7,17.69,18.67,20.59,20.26,19.47,19.15,18.82,15.46,14.93,14.85,16.7,15.72
Portugal,9.88,9.87,9.23,9.17,8.82,8.92,8.68,8.14,7.39,6.53,6.44,6.62,6.72
Puerto Rico,3.35,2.52,3.16,3.21,3.13,3.7,3.79,3.97,3.82,3.68,3.75,3.65,4.03
Qatar,8.81,8.78,9.73,9.66,9.98,11.27,12.98,13.38,13.89,13.75,13.42,13.54,14.52
Reunion,1.69,1.65,1.76,1.8,1.81,1.9,1.9,1.95,2,2,2,2.04,2.1
Romania,16.74,16.72,17.31,17.29,16.79,16.68,17.68,17.51,14.78,13.95,14.32,15.4,14.85
Russia,9.48,9.21,9.53,10.08,10.36,10.6,12.22,12.09,9.99,9.49,9.94,10.07,9.84
Rwanda,14.67,9.39,10.09,8.73,8.65,9.46,9.58,9.65,8.34,8.68,8.71,9.25,9.32
Saint Helena,3.77,3.7,3.68,3.68,3.75,4.09,4.09,3.79,3.74,3.76,3.78,3.83,3.83
Saint Kitts and Nevis,2.91,2.9,3.04,2.98,2.97,3.21,3.34,3.36,3.27,3.23,3.28,3.27,3.35
